dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1148284-96306,,,,,,,,,,Tiga Acquisition Corp. III,2/26/2021,"$172,500,000"
1148285-96307,,,,,,,,,,Tiga Acquisition Corp. II,2/26/2021,"$230,000,000"
1148288-96310,,,,,,,,,,RMG Acquisition Corp. VII,2/26/2021,"$833,750,000"
1148294-96311,,,,,,,,,,RMG Acquisition Corp. V,2/26/2021,"$488,750,000"
1148318-96314,AVACU,"Beneficient Merger Sub II, LLC",NASDAQ Global,10.00,"18,000,000",10/06/2021,"$180,000,000",Priced,AVACU,"Beneficient Merger Sub II, LLC",2/26/2021,"$180,000,000"
1148324-96317,BGSXU,Build Acquisition Corp.,NYSE,10.00,"20,000,000",3/17/2021,"$200,000,000",Priced,BGSXU,Build Acquisition Corp.,2/26/2021,"$200,000,000"
1148329-96319,FZT'U,FAST Acquisition Corp. II,NYSE,10.00,"20,000,000",3/16/2021,"$200,000,000",Priced,FZT'U,FAST Acquisition Corp. II,2/26/2021,"$200,000,000"
1148362-96327,,,,,,,,,,RMG Acquisition Corp. VI,2/26/2021,"$661,250,000"
1148368-96328,HCMAU,HCM Acquisition Corp,NASDAQ Global,10.00,"25,000,000",1/21/2022,"$250,000,000",Priced,HCMAU,HCM Acquisition Corp,3/01/2021,"$250,000,000"
1148385-96333,DSEY,"Diversey Holdings, Ltd.",NASDAQ Global Select,15.00,"46,153,846",3/25/2021,"$692,307,690",Priced,DSEY,"Diversey Holdings, Ltd.",3/01/2021,"$692,307,690"
1148392-96334,VZIO,Vizio Holding Corp.,NYSE,21.00,"12,250,000",3/25/2021,"$257,250,000",Priced,VZIO,Vizio Holding Corp.,3/01/2021,"$257,250,000"
1148419-96336,OPA'U,Magnum Opus Acquisition Ltd,NYSE,10.00,"20,000,000",3/23/2021,"$200,000,000",Priced,OPA'U,Magnum Opus Acquisition Ltd,3/01/2021,"$200,000,000"
1148445-96337,CENQU,"Verde Clean Fuels, Inc.",NASDAQ Capital,10.00,"15,000,000",8/13/2021,"$150,000,000",Priced,CENQU,"Verde Clean Fuels, Inc.",3/01/2021,"$150,000,000"
1148463-96352,,,,,,,,,BRYTU,BrightSpark Capitol Corp.,3/01/2021,"$230,000,000"
1148465-96355,REVHU,Revolution Healthcare Acquisition Corp.,NASDAQ Capital,10.00,"50,000,000",3/18/2021,"$500,000,000",Priced,REVHU,Revolution Healthcare Acquisition Corp.,3/01/2021,"$500,000,000"
1148468-96357,SEMR,"SEMrush Holdings, Inc.",NYSE,14.00,"10,000,000",3/25/2021,"$140,000,000",Priced,SEMR,"SEMrush Holdings, Inc.",3/01/2021,"$140,000,000"
1148471-96359,ACHL,Achilles Therapeutics plc,NASDAQ Global Select,18.00,"9,750,000",3/31/2021,"$175,500,000",Priced,ACHL,Achilles Therapeutics plc,3/01/2021,"$175,500,000"
1148475-96361,TGAAU,Target Global Acquisition I Corp.,NASDAQ Global,10.00,"20,000,000",12/09/2021,"$200,000,000",Priced,TGAAU,Target Global Acquisition I Corp.,3/01/2021,"$200,000,000"
1148488-96364,,,,,,,,,RADDU,CORNER GROWTH ACQUISITION CORP. 3,3/01/2021,"$517,500,000"
1148495-96366,TRONU,CORNER GROWTH ACQUISITION CORP. 2,NASDAQ Capital,10.00,"17,500,000",6/17/2021,"$175,000,000",Priced,TRONU,CORNER GROWTH ACQUISITION CORP. 2,3/01/2021,"$175,000,000"
